#interval_tag	giter	x	y	end	mol_length	mol_sites	mapid	x0_loc	x1_loc	x0_site	x1_site
interval_errors	0	4.0476	3.944	0	3931.63	453	0	2006.63	2010.68	234	235
interval_errors	0	3.0042	3.012	0	3931.63	453	0	2003.63	2006.63	233	234
interval_errors	0	2.8178	3.077	0	3931.63	453	0	2000.81	2003.63	232	233
interval_errors	0	4.9974	4.864	0	3931.63	453	0	1995.81	2000.81	231	232
interval_errors	0	5.046	4.99	0	3931.63	453	0	1990.76	1995.81	230	231
interval_errors	0	8.4163	8.378	0	3931.63	453	0	1982.35	1990.76	229	230
interval_errors	0	8.1557	7.994	0	3931.63	453	0	1974.19	1982.35	228	229
interval_errors	0	5.7928	5.7905	0	3931.63	453	0	1968.4	1974.19	227	228
interval_errors	0	7.0847	6.9905	0	3931.63	453	0	1961.32	1968.4	226	227
interval_errors	0	7.6887	7.6915	0	3931.63	453	0	1953.63	1961.32	225	226
interval_errors	0	1.587	1.5475	0	3931.63	453	0	1952.04	1953.63	224	225
interval_errors	0	34.0247	33.6835	0	3931.63	453	0	1889.2	1923.22	218	219
interval_errors	0	11.2621	11.074	0	3931.63	453	0	1877.94	1889.2	217	218
interval_errors	0	8.4798	8.3275	0	3931.63	453	0	1869.46	1877.94	216	217
interval_errors	0	13.7726	13.7085	0	3931.63	453	0	1855.68	1869.46	215	216
interval_errors	0	6.0473	5.909	0	3931.63	453	0	1849.64	1855.68	214	215
interval_errors	0	2.2163	2.313	0	3931.63	453	0	1847.42	1849.64	213	214
interval_errors	0	2.3975	2.46	0	3931.63	453	0	1845.02	1847.42	212	213
interval_errors	0	15.6536	15.402	0	3931.63	453	0	1829.37	1845.02	211	212
interval_errors	0	7.7769	7.734	0	3931.63	453	0	1821.59	1829.37	210	211
interval_errors	0	15.3122	14.683	0	3931.63	453	0	1806.28	1821.59	209	210
interval_errors	0	2.5703	2.54675	0	3931.63	453	0	1803.71	1806.28	208	209
interval_errors	0	14.0235	14.2277	0	3931.63	453	0	1789.69	1803.71	207	208
interval_errors	0	8.5064	8.4415	0	3931.63	453	0	1781.18	1789.69	206	207
interval_errors	0	2.8037	2.823	0	3931.63	453	0	1778.38	1781.18	205	206
interval_errors	0	7.4141	6.85	0	3931.63	453	0	1770.96	1778.38	204	205
interval_errors	0	1.2004	1.5795	0	3931.63	453	0	1769.76	1770.96	203	204
interval_errors	0	13.4583	13.1315	0	3931.63	453	0	1756.3	1769.76	202	203
interval_errors	0	1.9573	2.226	0	3931.63	453	0	1754.35	1756.3	201	202
interval_errors	0	6.0367	5.874	0	3931.63	453	0	1748.31	1754.35	200	201
interval_errors	0	3.6963	3.87	0	3931.63	453	0	1744.61	1748.31	199	200
interval_errors	0	8.8167	8.367	0	3931.63	453	0	1735.8	1744.61	198	199
interval_errors	0	5.7022	5.713	0	3931.63	453	0	1730.09	1735.8	197	198
interval_errors	0	5.147	5.8365	0	3931.63	453	0	1724.95	1730.09	196	197
interval_errors	0	8.0218	8.5835	0	3931.63	453	0	1716.92	1724.95	195	196
interval_errors	0	10.5971	10.426	0	3931.63	453	0	1706.33	1716.92	194	195
interval_errors	0	9.7708	9.682	0	3931.63	453	0	1696.56	1706.33	193	194
interval_errors	0	9.1235	9.02	0	3931.63	453	0	1687.43	1696.56	192	193
interval_errors	0	6.3868	6.2765	0	3931.63	453	0	1681.05	1687.43	191	192
interval_errors	0	2.5862	2.6415	0	3931.63	453	0	1631.61	1634.2	186	187
interval_errors	0	13.0712	12.7615	0	3931.63	453	0	1618.54	1631.61	185	186
interval_errors	0	2.9773	3.008	0	3931.63	453	0	1615.56	1618.54	184	185
interval_errors	0	4.6376	4.689	0	3931.63	453	0	1610.93	1615.56	183	184
interval_errors	0	17.3506	17.24	0	3931.63	453	0	1593.58	1610.93	182	183
interval_errors	0	12.2883	12.156	0	3931.63	453	0	1581.29	1593.58	181	182
interval_errors	0	8.051	7.808	0	3931.63	453	0	1573.24	1581.29	180	181
interval_errors	0	1.6777	1.889	0	3931.63	453	0	1571.56	1573.24	179	180
interval_errors	0	16.9805	16.5717	0	3931.63	453	0	1554.58	1571.56	178	179
interval_errors	0	8.127	8.13033	0	3931.63	453	0	1546.45	1554.58	177	178
interval_errors	0	8.4389	8.226	0	3931.63	453	0	1538.01	1546.45	176	177
interval_errors	0	1.6865	1.82	0	3931.63	453	0	1536.33	1538.01	175	176
interval_errors	0	4.4123	4.307	0	3931.63	453	0	1531.91	1536.33	174	175
interval_errors	0	1.1143	1.295	0	3931.63	453	0	1530.8	1531.91	173	174
interval_errors	0	3.142	3.043	0	3931.63	453	0	1527.66	1530.8	172	173
interval_errors	0	9.8466	9.686	0	3931.63	453	0	1517.81	1527.66	171	172
interval_errors	0	3.9463	3.921	0	3931.63	453	0	1513.86	1517.81	170	171
interval_errors	0	2.5119	2.607	0	3931.63	453	0	1511.35	1513.86	169	170
interval_errors	0	3.1347	2.992	0	3931.63	453	0	1508.22	1511.35	168	169
interval_errors	0	5.9708	6.1335	0	3931.63	453	0	1502.25	1508.22	167	168
interval_errors	0	10.0427	9.7595	0	3931.63	453	0	1492.2	1502.25	166	167
interval_errors	0	14.0212	13.735	0	3931.63	453	0	1478.18	1492.2	165	166
interval_errors	0	1.6827	1.966	0	3931.63	453	0	1476.5	1478.18	164	165
interval_errors	0	33.8848	33.45	0	3931.63	453	0	1442.62	1476.5	163	164
interval_errors	0	12.839	12.769	0	3931.63	453	0	1429.78	1442.62	162	163
interval_errors	0	11.1257	10.992	0	3931.63	453	0	1418.65	1429.78	161	162
interval_errors	0	2.9365	3.003	0	3931.63	453	0	1415.71	1418.65	160	161
interval_errors	0	41.1822	41.392	0	3931.63	453	0	1374.53	1415.71	159	160
interval_errors	0	17.8111	18.268	0	3931.63	453	0	1350.28	1368.09	157	158
interval_errors	0	1.1918	1.421	0	3931.63	453	0	1349.08	1350.28	156	157
interval_errors	0	5.0061	4.785	0	3931.63	453	0	1344.08	1349.08	155	156
interval_errors	0	14.4683	14.424	0	3931.63	453	0	1329.61	1344.08	154	155
interval_errors	0	7.3658	7.301	0	3931.63	453	0	1322.24	1329.61	153	154
interval_errors	0	31.6577	31.48	0	3931.63	453	0	1290.59	1322.24	152	153
interval_errors	0	27.5896	27.473	0	3931.63	453	0	1263	1290.59	151	152
interval_errors	0	3.3743	3.325	0	3931.63	453	0	1259.62	1263	150	151
interval_errors	0	2.423	2.313	0	3931.63	453	0	1257.2	1259.62	149	150
interval_errors	0	1.7615	1.919	0	3931.63	453	0	1255.44	1257.2	148	149
interval_errors	0	8.0393	7.8475	0	3931.63	453	0	1247.4	1255.44	147	148
interval_errors	0	4.2185	4.0765	0	3931.63	453	0	1243.18	1247.4	146	147
interval_errors	0	13.543	13.4125	0	3931.63	453	0	1229.64	1243.18	145	146
interval_errors	0	6.7826	6.39	0	3931.63	453	0	1222.85	1229.64	144	145
interval_errors	0	1.224	1.6095	0	3931.63	453	0	1221.63	1222.85	143	144
interval_errors	0	1.9305	1.867	0	3931.63	453	0	1219.7	1221.63	142	143
interval_errors	0	16.951	18.1	0	3931.63	453	0	1202.75	1219.7	141	142
interval_errors	0	4.9582	4.949	0	3931.63	453	0	1197.79	1202.75	140	141
interval_errors	0	3.7396	3.6925	0	3931.63	453	0	1194.05	1197.79	139	140
interval_errors	0	3.6917	3.983	0	3931.63	453	0	1190.36	1194.05	138	139
interval_errors	0	6.9636	7.1525	0	3931.63	453	0	1183.4	1190.36	137	138
interval_errors	0	7.4652	7.12575	0	3931.63	453	0	1175.93	1183.4	136	137
interval_errors	0	1.729	1.86775	0	3931.63	453	0	1174.2	1175.93	135	136
interval_errors	0	11.2245	10.7315	0	3931.63	453	0	1162.98	1174.2	134	135
interval_errors	0	2.3341	2.387	0	3931.63	453	0	1160.64	1162.98	133	134
interval_errors	0	5.4965	5.649	0	3931.63	453	0	1155.15	1160.64	132	133
interval_errors	0	1.7034	1.677	0	3931.63	453	0	1153.44	1155.15	131	132
interval_errors	0	11.0011	10.646	0	3931.63	453	0	1142.44	1153.44	130	131
interval_errors	0	13.2714	12.895	0	3931.63	453	0	1129.17	1142.44	129	130
interval_errors	0	1.313	1.65	0	3931.63	453	0	1127.86	1129.17	128	129
interval_errors	0	2.4165	2.605	0	3931.63	453	0	1125.44	1127.86	127	128
interval_errors	0	10.9265	10.613	0	3931.63	453	0	1114.51	1125.44	126	127
interval_errors	0	1.8935	2.0675	0	3931.63	453	0	1112.62	1114.51	125	126
interval_errors	0	23.0026	22.6075	0	3931.63	453	0	1089.62	1112.62	124	125
interval_errors	0	4.3143	4.359	0	3931.63	453	0	1085.3	1089.62	123	124
interval_errors	0	3.5465	3.509	0	3931.63	453	0	1081.76	1085.3	122	123
interval_errors	0	8.7887	8.663	0	3931.63	453	0	1072.97	1081.76	121	122
interval_errors	0	1.8939	2.094	0	3931.63	453	0	1071.07	1072.97	120	121
interval_errors	0	3.1861	2.97	0	3931.63	453	0	1067.89	1071.07	119	120
interval_errors	0	38.3297	38.1415	0	3931.63	453	0	1029.56	1067.89	118	119
interval_errors	0	1.3934	1.7475	0	3931.63	453	0	1028.17	1029.56	117	118
interval_errors	0	16.5658	16.012	0	3931.63	453	0	1011.6	1028.17	116	117
interval_errors	0	3.0667	3.125	0	3931.63	453	0	1008.53	1011.6	115	116
interval_errors	0	7.6494	7.372	0	3931.63	453	0	1000.88	1008.53	114	115
interval_errors	0	1.6011	1.886	0	3931.63	453	0	999.282	1000.88	113	114
interval_errors	0	6.5558	6.2	0	3931.63	453	0	992.726	999.282	112	113
interval_errors	0	6.6216	6.458	0	3931.63	453	0	986.105	992.726	111	112
interval_errors	0	2.3711	2.585	0	3931.63	453	0	983.734	986.105	110	111
interval_errors	0	3.1718	3.025	0	3931.63	453	0	980.562	983.734	109	110
interval_errors	0	12.0189	11.762	0	3931.63	453	0	968.543	980.562	108	109
interval_errors	0	4.4314	4.418	0	3931.63	453	0	964.112	968.543	107	108
interval_errors	0	28.3683	28.13	0	3931.63	453	0	935.743	964.112	106	107
interval_errors	0	7.413	7.38	0	3931.63	453	0	928.33	935.743	105	106
interval_errors	0	4.5693	4.633	0	3931.63	453	0	923.761	928.33	104	105
interval_errors	0	13.1695	14.053	0	3931.63	453	0	910.592	923.761	103	104
interval_errors	0	1.8244	2.181	0	3931.63	453	0	908.767	910.592	102	103
interval_errors	0	14.0852	14.038	0	3931.63	453	0	894.682	908.767	101	102
interval_errors	0	10.8114	11.132	0	3931.63	453	0	883.871	894.682	100	101
interval_errors	0	19.9691	19.1388	0	3931.63	453	0	863.902	883.871	99	100
interval_errors	0	3.0678	3.27625	0	3931.63	453	0	860.834	863.902	98	99
interval_errors	0	1.2065	1.774	0	3931.63	453	0	859.627	860.834	97	98
interval_errors	0	3.0246	2.719	0	3931.63	453	0	856.603	859.627	96	97
interval_errors	0	7.0072	6.892	0	3931.63	453	0	849.595	856.603	95	96
interval_errors	0	8.4583	7.982	0	3931.63	453	0	841.137	849.595	94	95
interval_errors	0	1.0575	1.471	0	3931.63	453	0	840.08	841.137	93	94
interval_errors	0	3.6306	3.612	0	3931.63	453	0	836.449	840.08	92	93
interval_errors	0	3.8089	3.758	0	3931.63	453	0	832.64	836.449	91	92
interval_errors	0	12.1785	11.899	0	3931.63	453	0	820.462	832.64	90	91
interval_errors	0	2.7666	2.844	0	3931.63	453	0	817.695	820.462	89	90
interval_errors	0	3.8608	3.6975	0	3931.63	453	0	776.983	780.844	85	86
interval_errors	0	3.0843	3.1865	0	3931.63	453	0	773.899	776.983	84	85
interval_errors	0	5.4263	5.305	0	3931.63	453	0	768.473	773.899	83	84
interval_errors	0	12.83	12.687	0	3931.63	453	0	755.643	768.473	82	83
interval_errors	0	7.4858	7.408	0	3931.63	453	0	748.157	755.643	81	82
interval_errors	0	6.985	7.041	0	3931.63	453	0	741.172	748.157	80	81
interval_errors	0	3.67	3.594	0	3931.63	453	0	737.502	741.172	79	80
interval_errors	0	9.1152	8.963	0	3931.63	453	0	728.387	737.502	78	79
interval_errors	0	9.0701	8.5695	0	3931.63	453	0	719.317	728.387	77	78
interval_errors	0	7.2903	7.4835	0	3931.63	453	0	712.026	719.317	76	77
interval_errors	0	2.4008	2.506	0	3931.63	453	0	709.625	712.026	75	76
interval_errors	0	26.6094	25.224	0	3931.63	453	0	672.17	698.779	73	74
interval_errors	0	2.063	2.189	0	3931.63	453	0	670.107	672.17	72	73
interval_errors	0	10.5734	10.436	0	3931.63	453	0	659.533	670.107	71	72
interval_errors	0	3.3501	3.371	0	3931.63	453	0	656.183	659.533	70	71
interval_errors	0	9.6634	9.86975	0	3931.63	453	0	646.52	656.183	69	70
interval_errors	0	4.2123	3.73225	0	3931.63	453	0	642.308	646.52	68	69
interval_errors	0	1.3658	1.606	0	3931.63	453	0	640.942	642.308	67	68
interval_errors	0	10.037	9.391	0	3931.63	453	0	630.905	640.942	66	67
interval_errors	0	1.8283	2.21	0	3931.63	453	0	629.076	630.905	65	66
interval_errors	0	8.1403	8.05	0	3931.63	453	0	620.936	629.076	64	65
interval_errors	0	13.5768	13.5735	0	3931.63	453	0	607.359	620.936	63	64
interval_errors	0	6.7033	6.712	0	3931.63	453	0	600.656	607.359	62	63
interval_errors	0	10.219	10.0755	0	3931.63	453	0	590.437	600.656	61	62
interval_errors	0	15.7803	15.614	0	3931.63	453	0	574.657	590.437	60	61
interval_errors	0	7.3946	8.495	0	3931.63	453	0	567.262	574.657	59	60
interval_errors	0	5.1089	5.089	0	3931.63	453	0	562.153	567.262	58	59
interval_errors	0	3.1168	3.183	0	3931.63	453	0	559.036	562.153	57	58
interval_errors	0	14.0022	13.835	0	3931.63	453	0	545.034	559.036	56	57
interval_errors	0	3.0751	3.029	0	3931.63	453	0	541.959	545.034	55	56
